c Instance Type h 
c 
n 1 
c w v1 v1 v1 v1 v1 v1
i 8 16 17 18 17 13 13
i 18 5 16 17 11 9 20
i 16 6 7 3 9 6 14
i 10 13 12 19 17 8 3
i 11 19 8 19 5 2 9
i 13 15 18 10 10 12 13
i 13 1 4 15 1 11 6
i 4 16 6 7 5 2 16
i 9 3 4 17 13 16 7
i 20 5 3 4 11 5 19
i 17 13 11 17 15 14 3
i 13 11 7 1 15 4 12
i 19 7 10 6 15 13 4
i 11 16 16 8 18 2 12
i 18 6 9 15 15 17 15
i 16 18 8 17 12 8 8
i 19 11 2 4 8 16 18
i 5 14 3 6 12 7 7
i 8 2 18 8 16 5 18
i 10 2 1 2 17 20 10
i 19 18 6 3 11 18 3
i 6 11 17 9 10 7 2
i 15 11 8 11 19 9 1
i 11 2 14 10 12 5 5
i 19 19 9 1 10 1 6
i 6 15 15 9 19 18 13
i 8 14 13 7 12 1 10
i 9 18 4 17 13 16 9
i 7 5 17 8 16 18 20
i 8 14 18 5 16 5 11
i 12 13 19 2 19 1 10
i 9 19 17 16 19 13 10
i 16 14 9 8 7 9 3
i 10 5 18 5 10 18 16
i 18 4 19 15 2 12 14
i 13 9 18 19 12 12 1
i 6 16 13 2 10 18 8
i 9 5 7 10 3 1 10
i 6 12 5 8 6 11 2
i 4 18 9 11 3 17 11
i 3 10 3 5 3 6 12
i 20 19 15 6 14 12 7
i 8 15 14 14 8 14 1
i 7 5 8 16 2 14 7
i 6 4 12 12 7 10 12
i 3 16 15 18 14 3 19
i 15 2 4 4 16 2 5
i 2 11 19 12 4 18 11
i 6 16 4 5 13 3 16
i 13 19 15 13 13 1 10
i 15 3 13 16 10 9 8
i 11 2 4 14 11 3 6
i 5 10 2 11 20 16 16
i 12 15 17 5 16 9 17
i 4 20 2 6 17 16 7
i 18 3 5 4 6 17 8
i 2 18 20 18 14 3 20
i 1 19 2 18 3 12 18
i 4 4 12 5 19 9 18
i 18 17 8 11 10 11 13
i 11 12 8 18 17 2 4
i 14 3 10 7 15 15 4
i 15 7 11 18 15 4 2
i 12 18 20 6 3 4 15
i 13 2 15 8 18 1 5
i 17 19 15 16 18 17 17
i 17 20 18 10 7 18 14
i 18 20 15 14 7 10 2
i 10 4 14 18 6 8 12
i 18 2 17 6 19 4 4
i 6 13 13 6 2 7 9
i 14 7 5 12 2 8 4
i 5 2 7 10 2 15 18
i 5 13 13 14 17 3 11
i 19 6 11 15 4 15 11
i 15 3 11 12 12 10 4
i 12 19 10 14 10 11 3
i 7 17 10 19 12 16 2
i 1 8 9 7 10 5 1
i 17 5 12 16 7 18 12
i 10 10 14 5 11 4 7
i 15 4 7 11 4 2 18
i 2 9 13 8 5 18 9
i 14 13 14 18 6 17 18
i 4 13 8 10 10 2 18
i 15 7 13 14 10 14 16
i 5 18 15 6 18 2 15
i 13 6 14 4 5 1 6
i 3 6 11 4 5 14 16
i 14 3 18 20 3 14 9
i 8 12 3 3 7 16 9
i 14 6 12 8 20 16 8
i 6 7 16 18 15 11 19
i 20 1 5 19 5 4 19
i 7 5 17 12 15 14 3
i 19 18 9 1 6 16 10
i 14 3 16 10 12 10 9
i 8 16 14 14 3 9 10
i 18 17 19 10 19 15 12
i 16 11 5 4 14 13 1
i 18 18 7 11 11 17 14
i 10 12 18 10 10 4 16
i 6 17 4 5 19 10 11
i 10 17 10 19 20 9 18
i 7 4 10 1 2 8 14
i 15 4 14 14 17 13 5
i 10 17 12 4 11 9 15
i 4 5 15 5 7 17 14
i 3 4 10 10 3 12 6
i 7 19 8 10 11 19 6
i 13 17 18 15 17 20 17
i 10 7 17 4 11 12 14
i 14 13 8 6 15 9 13
i 4 2 6 20 3 10 17
i 13 8 3 13 3 12 10
i 7 3 6 18 8 16 15
i 19 12 9 2 5 10 16
i 14 15 6 3 17 12 18
i 4 18 10 2 8 2 8
i 11 5 13 17 11 19 19
i 9 17 12 20 20 17 4
i 6 7 8 9 4 5 11
i 13 20 15 2 12 2 2
i 18 4 7 10 10 17 15
i 1 16 9 20 14 1 1
i 7 3 16 11 18 7 12
i 15 2 17 15 9 2 18
i 20 14 10 15 8 11 15
i 10 17 5 11 6 2 8
i 3 8 3 7 17 13 11
i 13 16 7 9 20 17 9
i 2 2 3 11 16 10 20
i 16 14 10 14 9 19 7
i 3 12 9 13 13 7 9
i 11 12 12 3 6 3 13
i 7 18 8 20 3 10 16
i 4 13 10 14 12 8 4
i 13 12 11 8 19 9 6
i 17 2 5 11 3 9 6
i 19 4 3 14 3 5 10
i 5 17 10 8 2 4 7
i 8 18 7 20 2 16 4
i 16 14 8 11 3 19 3
i 6 16 2 15 4 3 5
i 17 7 13 2 9 17 12
i 5 13 5 19 17 18 6
i 14 16 3 7 12 17 4
i 5 9 15 3 8 3 19
i 9 5 7 3 4 18 11
i 11 4 8 15 1 2 7
i 1 8 12 8 10 9 15
i 7 15 8 7 15 11 14
i 13 11 6 16 10 1 2
i 14 16 18 20 16 14 17
i 7 13 14 16 5 7 4
i 11 17 1 16 10 1 5
i 13 11 13 9 15 11 13
i 8 15 9 15 9 5 6
i 14 4 16 2 19 7 15
i 2 14 2 15 12 11 14
i 13 14 5 19 2 5 18
i 1 1 12 8 5 16 17
i 6 13 7 20 3 8 2
i 4 7 17 20 2 14 7
i 18 13 14 12 19 18 8
i 18 5 7 8 6 10 7
i 11 17 4 18 2 3 13
i 18 5 14 2 15 18 14
i 14 18 8 15 11 18 9
i 15 19 11 9 10 5 7
i 19 11 5 6 14 3 11
i 10 11 19 6 4 5 18
i 16 16 19 10 10 6 18
i 13 20 12 15 14 4 17
i 7 18 19 12 7 20 14
i 13 15 12 12 5 12 12
i 16 6 16 11 3 7 13
i 10 4 12 6 2 16 20
i 17 18 16 12 19 1 4
i 9 13 14 17 10 11 15
i 13 11 12 4 1 13 9
i 12 2 4 7 17 18 13
i 11 17 14 19 5 5 18
i 3 10 11 2 5 20 11
i 2 16 11 14 10 10 12
i 13 10 8 9 1 5 5
i 9 6 4 1 8 12 11
i 1 15 9 17 17 6 9
i 16 12 12 8 11 5 11
i 10 20 9 6 11 5 7
i 2 13 2 12 12 4 6
i 5 5 12 5 10 4 9
i 19 15 13 18 5 13 18
i 9 17 10 11 8 13 12
i 19 18 19 14 14 11 3
i 7 11 16 2 20 14 7
i 10 19 5 3 15 4 8
i 18 19 10 3 18 11 19
i 10 16 4 18 18 14 11
i 18 6 16 14 11 15 4
